Codmundv_A;nomemun_A;Codmundv_B;nomemun_B;VAR01;VAR02;VAR03;VAR04
3506003;Bauru;3511102;Catanduva;3;4;7;133
3136702;Juiz de Fora;3509502;Campinas;3;4;7;401
3138203;Lavras;3509502;Campinas;3;4;7;279
3505906;Batatais;3509502;Campinas;3;4;7;230
3170206;Uberlândia;3506102;Bebedouro;3;4;7;227
3127701;Governador Valadares;3505708;Barueri;3;4;7;716
3300407;Barra Mansa;3505708;Barueri;3;4;7;293
3170701;Varginha;3504107;Atibaia;3;4;7;213
3304557;Rio de Janeiro;3502507;Aparecida;3;4;7;202
3306008;Três Rios;3306206;Vassouras;3;4;7;57
3303401;Nova Friburgo;3306008;Três Rios;3;4;7;72
3304524;Rio das Ostras;3305109;São João de Meriti;3;4;7;150
3303906;Petrópolis;3304904;São Gonçalo;3;4;7;32
2803609;Laranjeiras;3304557;Rio de Janeiro;3;4;7;1466
3146107;Ouro Preto;3304557;Rio de Janeiro;3;4;7;279
3148103;Patrocínio;3304557;Rio de Janeiro;3;4;7;575
3136702;Juiz de Fora;3304201;Resende;3;4;7;142
3303500;Nova Iguaçu;3304201;Resende;3;4;7;105
2304400;Fortaleza;3303906;Petrópolis;3;4;7;2126
3301108;Cantagalo;3303401;Nova Friburgo;3;4;7;44
3205200;Vila Velha;3303302;Niterói;3;4;7;395
2304400;Fortaleza;3302403;Macaé;3;4;7;2083
3201308;Cariacica;3302403;Macaé;3;4;7;276
2927408;Salvador;3301702;Duque de Caxias;3;4;7;1185
3202306;Guaçuí;3205309;Vitória;3;4;7;155
3202702;Itaguaçu;3205309;Vitória;3;4;7;77
3203056;Jaguaré;3205309;Vitória;3;4;7;151
3203320;Marataízes;3205309;Vitória;3;4;7;107
3203502;Montanha;3205309;Vitória;3;4;7;238
3203700;Muniz Freire;3205309;Vitória;3;4;7;118
3202603;Iconha;3205101;Viana;3;4;7;50
1302603;Manaus;3205002;Serra;3;4;7;2741
3201308;Cariacica;3204906;São Mateus;3;4;7;177
3201605;Conceição da Barra;3204906;São Mateus;3;4;7;22
3200136;Águia Branca;3204708;São Gabriel da Palha;3;4;7;18
3200102;Afonso Cláudio;3204559;Santa Maria de Jetibá;3;4;7;40
2931350;Teixeira de Freitas;3204104;Pinheiros;3;4;7;110
3203502;Montanha;3204104;Pinheiros;3;4;7;37
3204054;Pedro Canário;3204104;Pinheiros;3;4;7;43
3122306;Divinópolis;3170206;Uberlândia;3;4;7;384
3152808;Prata;3170107;Uberaba;3;4;7;121
3118601;Contagem;3169901;Ubá;3;4;7;173
3112653;Capitão Andrade;3169505;Tumiritinga;3;4;7;24
3135803;Jequitinhonha;3168606;Teófilo Otoni;3;4;7;162
3119104;Corinto;3167202;Sete Lagoas;3;4;7;120
3104304;Areado;3166907;Serrania;3;4;7;24
3138708;Luminárias;3165206;São Thomé das Letras;3;4;7;25
3128709;Guaxupé;3164704;São Sebastião do Paraíso;3;4;7;50
3132909;Itamogi;3164704;São Sebastião do Paraíso;3;4;7;18
3138203;Lavras;3159902;Santo Antônio do Amparo;3;4;7;33
3110509;Camanducaia;3159605;Santa Rita do Sapucaí;3;4;7;72
3139409;Manhuaçu;3157906;Santa Margarida;3;4;7;25
3152105;Ponte Nova;3154002;Raul Soares;3;4;7;60
3118601;Contagem;3151404;Pitangui;3;4;7;88
3127800;Grão Mogol;3151206;Pirapora;3;4;7;231
3136702;Juiz de Fora;3149507;Pequeri;3;4;7;24
3103504;Araguari;3148103;Patrocínio;3;4;7;134
3146909;Papagaios;3147402;Paraopeba;3;4;7;42
3100203;Abaeté;3147105;Pará de Minas;3;4;7;117
3140704;Mateus Leme;3147105;Pará de Minas;3;4;7;25
3143302;Montes Claros;3147006;Paracatu;3;4;7;329
3106200;Belo Horizonte;3144300;Nanuque;3;4;7;446
3116159;Chapada Gaúcha;3143302;Montes Claros;3;4;7;243
3122306;Divinópolis;3143302;Montes Claros;3;4;7;395
3106200;Belo Horizonte;3143104;Monte Carmelo;3;4;7;395
3101607;Alfenas;3143005;Monte Belo;3;4;7;43
3106200;Belo Horizonte;3142700;Montalvânia;3;4;7;603
3106200;Belo Horizonte;3141801;Minas Novas;3;4;7;332
3133303;Itaobim;3141405;Medina;3;4;7;38
3106200;Belo Horizonte;3141207;Matutina;3;4;7;223
3135050;Jaíba;3140852;Matias Cardoso;3;4;7;53
3116001;Chalé;3139409;Manhuaçu;3;4;7;45
3123601;Elói Mendes;3139003;Machado;3;4;7;37
3118601;Contagem;3138807;Luz;3;4;7;169
2606002;Garanhuns;2800308;Aracaju;2;5;7;233
2403400;Equador;2408904;Parelhas;2;5;7;29
2305506;Iguatu;2307650;Maracanaú;2;5;7;286
2101400;Balsas;2201150;Baixa Grande do Ribeiro;2;5;7;101
1302603;Manaus;1702109;Araguaína;2;5;7;1377
1200385;Plácido de Castro;1200401;Rio Branco;2;5;7;80
2305001;Guaraciaba do Norte;5300108;Brasília;2;5;7;1492
3534302;Orlândia;5217401;Pires do Rio;2;5;7;382
5208707;Goiânia;5217203;Piranhas;2;5;7;270
3534302;Orlândia;5210109;Ipameri;2;5;7;332
5105259;Lucas do Rio Verde;5107768;Santa Rita do Trivelato;2;5;7;107
1302603;Manaus;5107602;Rondonópolis;2;5;7;1575
3522406;Itapeva;5008305;Três Lagoas;2;5;7;465
3509205;Cajamar;5006200;Nova Andradina;2;5;7;687
3516200;Franca;5002704;Campo Grande;2;5;7;757
4318705;São Leopoldo;4321600;Tramandaí;2;5;7;99
4314779;Pontão;4320107;Sarandi;2;5;7;27
3505708;Barueri;4318705;São Leopoldo;2;5;7;800
4305108;Caxias do Sul;4318408;São Jerônimo;2;5;7;103
4317202;Santa Rosa;4318002;São Borja;2;5;7;174
4314100;Passo Fundo;4317400;Santiago;2;5;7;260
4113700;Londrina;4316907;Santa Maria;2;5;7;752
4209102;Joinville;4316808;Santa Cruz do Sul;2;5;7;511
4303905;Campo Bom;4316808;Santa Cruz do Sul;2;5;7;133
4312401;Montenegro;4316501;Salvador do Sul;2;5;7;25
2305233;Horizonte;4314902;Porto Alegre;2;5;7;3092
3301009;Campos dos Goytacazes;4314902;Porto Alegre;2;5;7;1297
4101507;Arapongas;4314902;Porto Alegre;2;5;7;736
3534401;Osasco;4314100;Passo Fundo;2;5;7;751
4306809;Encantado;4314100;Passo Fundo;2;5;7;118
4310603;Itaqui;4314100;Passo Fundo;2;5;7;419
4305603;Colorado;4312658;Não-Me-Toque;2;5;7;18
4305900;Coronel Bicaco;4310207;Ijuí;2;5;7;78
3550308;São Paulo;4308508;Frederico Westphalen;2;5;7;775
4307559;Estação;4308250;Floriano Peixoto;2;5;7;18
4301602;Bagé;4303103;Cachoeirinha;2;5;7;328
4200408;Água Doce;4219309;Videira;2;5;7;40
4200408;Água Doce;4209003;Joaçaba;2;5;7;17
4204608;Criciúma;4208906;Jaraguá do Sul;2;5;7;244
4204004;Catanduvas;4208203;Itajaí;2;5;7;292
4116950;Nova Esperança do Sudoeste;4204202;Chapecó;2;5;7;147
3534401;Osasco;4202008;Balneário Camboriú;2;5;7;425
4106902;Curitiba;4127007;Teixeira Soares;2;5;7;118
4104501;Capanema;4119004;Pérola d'Oeste;2;5;7;17
2507507;João Pessoa;4113700;Londrina;2;5;7;2395
4101101;Andirá;4113700;Londrina;2;5;7;98
3509502;Campinas;4109401;Guarapuava;2;5;7;518
4104303;Campo Mourão;4109401;Guarapuava;2;5;7;176
4103453;Cafelândia;4108205;Formosa do Oeste;2;5;7;36
3534401;Osasco;4101507;Arapongas;2;5;7;476
3545605;Santa Adélia;3556909;Vista Alegre do Alto;2;5;7;20
2704302;Maceió;3552809;Taboão da Serra;2;5;7;1886
3304557;Rio de Janeiro;3551009;São Vicente;2;5;7;344
3507159;Bom Sucesso de Itararé;3550308;São Paulo;2;5;7;265
3513009;Cotia;3548708;São Bernardo do Campo;2;5;7;36
3522109;Itanhaém;3548708;São Bernardo do Campo;2;5;7;56
3304557;Rio de Janeiro;3543303;Ribeirão Pires;2;5;7;334
3510153;Canitar;3534708;Ourinhos;2;5;7;12
2609600;Olinda;3534401;Osasco;2;5;7;2077
2919207;Lauro de Freitas;3534401;Osasco;2;5;7;1446
3300456;Belford Roxo;3534401;Osasco;2;5;7;356
3305109;São João de Meriti;3534401;Osasco;2;5;7;357
3511102;Catanduva;3534401;Osasco;2;5;7;345
3503208;Araraquara;3530706;Mogi Guaçu;2;5;7;139
3512100;Colômbia;3529302;Matão;2;5;7;157
3526902;Limeira;3529302;Matão;2;5;7;149
3525706;José Bonifácio;3528106;Macaubal;2;5;7;40
3506003;Bauru;3516200;Franca;2;5;7;266
3509502;Campinas;3514403;Dracena;2;5;7;492
3102605;Andradas;3509502;Campinas;2;5;7;105
3127107;Frutal;3503208;Araraquara;2;5;7;203
2611606;Recife;3303906;Petrópolis;2;5;7;1793
3302403;Macaé;3303203;Nilópolis;2;5;7;165
2910727;Eunápolis;3201308;Cariacica;2;5;7;439
3108552;Brasilândia de Minas;3170206;Uberlândia;2;5;7;316
3168606;Teófilo Otoni;3168705;Timóteo;2;5;7;225
3106655;Berizal;3135209;Januária;1;6;7;283
2111300;São Luís;2933307;Vitória da Conquista;1;6;7;1410
2211001;Teresina;2933307;Vitória da Conquista;1;6;7;1100
2112605;Urbano Santos;2927408;Salvador;1;6;7;1203
2910503;Entre Rios;2925204;Pojuca;1;6;7;63
2804805;Nossa Senhora do Socorro;2900702;Alagoinhas;1;6;7;199
2306306;Itapagé;2604106;Caruaru;1;6;7;643
4208203;Itajaí;5211909;Jataí;1;6;7;1051
4205902;Gaspar;5107925;Sorriso;1;6;7;1768
4208203;Itajaí;5106224;Nova Mutum;1;6;7;1667
5102504;Cáceres;5104906;Jangada;1;6;7;155
4306809;Encantado;4315602;Rio Grande;1;6;7;317
4207502;Indaial;4304606;Canoas;1;6;7;382
3532207;Narandiba;4123600;Santa Inês;1;6;7;47
3550308;São Paulo;4106308;Corbélia;1;6;7;681
2927408;Salvador;3550209;São Miguel Arcanjo;1;6;7;1527
3533007;Nova Granada;3545605;Santa Adélia;1;6;7;95
3540309;Pontes Gestal;3545605;Santa Adélia;1;6;7;153
2704302;Maceió;3516200;Franca;1;6;7;1689
3146008;Ouro Fino;3503703;Ariranha;1;6;7;280
3159902;Santo Antônio do Amparo;3304557;Rio de Janeiro;1;6;7;273
3169356;Três Marias;3304557;Rio de Janeiro;1;6;7;556
3133758;Itaú de Minas;3170404;Unaí;1;6;7;481
3143302;Montes Claros;3157609;Santa Fé de Minas;1;6;7;164
3100203;Abaeté;3151404;Pitangui;1;6;7;83
3143104;Monte Carmelo;3143302;Montes Claros;1;6;7;448
1100015;Alta Floresta d'Oeste;5300108;Brasília;3;3;6;1556
1100130;Machadinho d'Oeste;5300108;Brasília;3;3;6;1650
1100148;Nova Brasilândia d'Oeste;5300108;Brasília;3;3;6;1595
1100254;Presidente Médici;5300108;Brasília;3;3;6;1567
1100452;Buritis;5300108;Brasília;3;3;6;1795
1200054;Assis Brasil;5300108;Brasília;3;3;6;2360
1200500;Sena Madureira;5300108;Brasília;3;3;6;2317
1301209;Coari;5300108;Brasília;3;3;6;2054
1302504;Manacapuru;5300108;Brasília;3;3;6;1923
1302702;Manicoré;5300108;Brasília;3;3;6;1785
1302900;Maués;5300108;Brasília;3;3;6;1713
1400209;Caracaraí;5300108;Brasília;3;3;6;2393
1400456;Pacaraima;5300108;Brasília;3;3;6;2630
1500107;Abaetetuba;5300108;Brasília;3;3;6;1559
1501709;Bragança;5300108;Brasília;3;3;6;1635
1501808;Breves;5300108;Brasília;3;3;6;1591
1502202;Capanema;5300108;Brasília;3;3;6;1609
1504703;Moju;5300108;Brasília;3;3;6;1537
1506203;Salinópolis;5300108;Brasília;3;3;6;1675
1506609;Santa Maria do Pará;5300108;Brasília;3;3;6;1599
1507300;São Félix do Xingu;5300108;Brasília;3;3;6;1094
1508159;Uruará;5300108;Brasília;3;3;6;1472
1508357;Vitória do Xingu;5300108;Brasília;3;3;6;1493
1508407;Xinguara;5300108;Brasília;3;3;6;987
1600105;Amapá;5300108;Brasília;3;3;6;1998
1702208;Araguatins;5300108;Brasília;3;3;6;1124
1716109;Paraíso do Tocantins;5300108;Brasília;3;3;6;633
1716208;Paranã;5300108;Brasília;3;3;6;352
1721208;Tocantinópolis;5300108;Brasília;3;3;6;1050
2101608;Barra do Corda;5300108;Brasília;3;3;6;1173
2102804;Carolina;5300108;Brasília;3;3;6;936
2103208;Chapadinha;5300108;Brasília;3;3;6;1419
2103307;Codó;5300108;Brasília;3;3;6;1321
2103406;Coelho Neto;5300108;Brasília;3;3;6;1377
2106755;Miranda do Norte;5300108;Brasília;3;3;6;1398
2108207;Pedreiras;5300108;Brasília;3;3;6;1294
2108454;Peritoró;5300108;Brasília;3;3;6;1319
2108603;Pinheiro;5300108;Brasília;3;3;6;1500
2109908;Santa Inês;5300108;Brasília;3;3;6;1350
2110609;São Bernardo;5300108;Brasília;3;3;6;1493
2111102;São João dos Patos;5300108;Brasília;3;3;6;1124
2111201;São José de Ribamar;5300108;Brasília;3;3;6;1524
2112803;Viana;5300108;Brasília;3;3;6;1429
2114007;Zé Doca;5300108;Brasília;3;3;6;1407
2201200;Barras;5300108;Brasília;3;3;6;1409
2201903;Bom Jesus;5300108;Brasília;3;3;6;835
2202208;Campo Maior;5300108;Brasília;3;3;6;1354
2202901;Corrente;5300108;Brasília;3;3;6;662
2207009;Oeiras;5300108;Brasília;3;3;6;1150
2207801;Paulistana;5300108;Brasília;3;3;6;1106
2208403;Piripiri;5300108;Brasília;3;3;6;1429
2210607;São Raimundo Nonato;5300108;Brasília;3;3;6;934
2211209;Uruçuí;5300108;Brasília;3;3;6;1014
2300200;Acaraú;5300108;Brasília;3;3;6;1647
2302107;Baturité;5300108;Brasília;3;3;6;1585
2302503;Brejo Santo;5300108;Brasília;3;3;6;1316
2302602;Camocim;5300108;Brasília;3;3;6;1604
2302800;Canindé;5300108;Brasília;3;3;6;1557
2303501;Cascavel;5300108;Brasília;3;3;6;1644
2305803;Ipu;5300108;Brasília;3;3;6;1481
2306306;Itapagé;5300108;Brasília;3;3;6;1601
2306405;Itapipoca;5300108;Brasília;3;3;6;1618
2307700;Maranguape;5300108;Brasília;3;3;6;1636
2307809;Marco;5300108;Brasília;3;3;6;1623
2308708;Morada Nova;5300108;Brasília;3;3;6;1550
2309607;Pacajus;5300108;Brasília;3;3;6;1626
2311306;Quixadá;5300108;Brasília;3;3;6;1520
2311405;Quixeramobim;5300108;Brasília;3;3;6;1484
2313302;Tauá;5300108;Brasília;3;3;6;1347
2313401;Tianguá;5300108;Brasília;3;3;6;1521
2401008;Apodi;5300108;Brasília;3;3;6;1533
2401107;Areia Branca;5300108;Brasília;3;3;6;1651
2402600;Ceará-Mirim;5300108;Brasília;3;3;6;1730
2404200;Goianinha;5300108;Brasília;3;3;6;1702
2405801;João Câmara;5300108;Brasília;3;3;6;1706
2407104;Macaíba;5300108;Brasília;3;3;6;1720
2407203;Macau;5300108;Brasília;3;3;6;1676
2408300;Nova Cruz;5300108;Brasília;3;3;6;1672
2409407;Pau dos Ferros;5300108;Brasília;3;3;6;1480
2411205;Santa Cruz;5300108;Brasília;3;3;6;1640
2412005;São Gonçalo do Amarante;5300108;Brasília;3;3;6;1727
2501104;Areia;5300108;Brasília;3;3;6;1618
2501500;Bananeiras;5300108;Brasília;3;3;6;1637
2503704;Cajazeiras;5300108;Brasília;3;3;6;1393
2504306;Catolé do Rocha;5300108;Brasília;3;3;6;1498
2506004;Esperança;5300108;Brasília;3;3;6;1602
2506301;Guarabira;5300108;Brasília;3;3;6;1642
2506905;Itabaiana;5300108;Brasília;3;3;6;1625
2507002;Itaporanga;5300108;Brasília;3;3;6;1395
2508901;Mamanguape;5300108;Brasília;3;3;6;1671
2512101;Pombal;5300108;Brasília;3;3;6;1461
2513703;Santa Rita;5300108;Brasília;3;3;6;1666
2515302;Sapé;5300108;Brasília;3;3;6;1649
2516201;Sousa;5300108;Brasília;3;3;6;1425
2517001;Umbuzeiro;5300108;Brasília;3;3;6;1574
2601102;Araripina;5300108;Brasília;3;3;6;1204
2601409;Barreiros;5300108;Brasília;3;3;6;1550
2601706;Belo Jardim;5300108;Brasília;3;3;6;1467
2601904;Bezerros;5300108;Brasília;3;3;6;1530
2602100;Bom Conselho;5300108;Brasília;3;3;6;1394
2603009;Cabrobó;5300108;Brasília;3;3;6;1222
2604007;Carpina;5300108;Brasília;3;3;6;1602
2604205;Catende;5300108;Brasília;3;3;6;1512
2605103;Custódia;5300108;Brasília;3;3;6;1380
2605202;Escada;5300108;Brasília;3;3;6;1574
2606408;Gravatá;5300108;Brasília;3;3;6;1552
2606804;Igarassu;5300108;Brasília;3;3;6;1628
2608800;Lajedo;5300108;Brasília;3;3;6;1458
2608909;Limoeiro;5300108;Brasília;3;3;6;1582
2609501;Nazaré da Mata;5300108;Brasília;3;3;6;1609
2609907;Ouricuri;5300108;Brasília;3;3;6;1203
2610004;Palmares;5300108;Brasília;3;3;6;1522
2610905;Pesqueira;5300108;Brasília;3;3;6;1441
2612505;Santa Cruz do Capibaribe;5300108;Brasília;3;3;6;1511
2613602;São José do Egito;5300108;Brasília;3;3;6;1451
2613701;São Lourenço da Mata;5300108;Brasília;3;3;6;1610
2613909;Serra Talhada;5300108;Brasília;3;3;6;1336
2614105;Sertânia;5300108;Brasília;3;3;6;1412
2614501;Surubim;5300108;Brasília;3;3;6;1559
2615409;Toritama;5300108;Brasília;3;3;6;1522
2700409;Atalaia;5300108;Brasília;3;3;6;1439
2702355;Craíbas;5300108;Brasília;3;3;6;1364
2702405;Delmiro Gouveia;5300108;Brasília;3;3;6;1269
2704500;Maragogi;5300108;Brasília;3;3;6;1539
2705507;Murici;5300108;Brasília;3;3;6;1457
2706901;Pilar;5300108;Brasília;3;3;6;1440
2707305;Porto Calvo;5300108;Brasília;3;3;6;1521
2708006;Santana do Ipanema;5300108;Brasília;3;3;6;1336
2708600;São Miguel dos Campos;5300108;Brasília;3;3;6;1418
2709152;Teotônio Vilela;5300108;Brasília;3;3;6;1388
2709301;União dos Palmares;5300108;Brasília;3;3;6;1449
2709400;Viçosa;5300108;Brasília;3;3;6;1426
2802304;Frei Paulo;5300108;Brasília;3;3;6;1245
2803005;Itabaianinha;5300108;Brasília;3;3;6;1187
2803500;Lagarto;5300108;Brasília;3;3;6;1211
2804409;Neópolis;5300108;Brasília;3;3;6;1341
2807105;Simão Dias;5300108;Brasília;3;3;6;1213
2807402;Tobias Barreto;5300108;Brasília;3;3;6;1170
2807600;Umbaúba;5300108;Brasília;3;3;6;1194
2900801;Alcobaça;5300108;Brasília;3;3;6;954
2901007;Amargosa;5300108;Brasília;3;3;6;938
2904506;Brotas de Macaúbas;5300108;Brasília;3;3;6;703
2904605;Brumado;5300108;Brasília;3;3;6;692
2904902;Cachoeira;5300108;Brasília;3;3;6;1019
2905206;Caetité;5300108;Brasília;3;3;6;609
2905602;Camacan;5300108;Brasília;3;3;6;900
2905800;Camamu;5300108;Brasília;3;3;6;959
2906501;Candeias;5300108;Brasília;3;3;6;1056
2906907;Caravelas;5300108;Brasília;3;3;6;956
2907301;Castro Alves;5300108;Brasília;3;3;6;965
2907509;Catu;5300108;Brasília;3;3;6;1087
2908408;Conceição do Coité;5300108;Brasília;3;3;6;1039
2910057;Dias d'Ávila;5300108;Brasília;3;3;6;1083
2910107;Dom Basílio;5300108;Brasília;3;3;6;694
2910503;Entre Rios;5300108;Brasília;3;3;6;1128
2910602;Esplanada;5300108;Brasília;3;3;6;1143
2910701;Euclides da Cunha;5300108;Brasília;3;3;6;1110
2911204;Gandu;5300108;Brasília;3;3;6;928
2912103;Ibicaraí;5300108;Brasília;3;3;6;901
2913200;Ibotirama;5300108;Brasília;3;3;6;642
2914000;Ipirá;5300108;Brasília;3;3;6;955
2915601;Itamaraju;5300108;Brasília;3;3;6;913
2916401;Itapetinga;5300108;Brasília;3;3;6;823
2917607;Jaguaquara;5300108;Brasília;3;3;6;886
2919504;Livramento de Nossa Senhora;5300108;Brasília;3;3;6;692
2919801;Macaúbas;5300108;Brasília;3;3;6;633
2922508;Nazaré;5300108;Brasília;3;3;6;995
2925204;Pojuca;5300108;Brasília;3;3;6;1087
2926004;Remanso;5300108;Brasília;3;3;6;925
2928208;Santana;5300108;Brasília;3;3;6;517
2928604;Santo Amaro;5300108;Brasília;3;3;6;1044
2928802;Santo Estêvão;5300108;Brasília;3;3;6;995
2929057;São Félix do Coribe;5300108;Brasília;3;3;6;478
2929305;São Gonçalo dos Campos;5300108;Brasília;3;3;6;1023
2930105;Senhor do Bonfim;5300108;Brasília;3;3;6;1011
2930303;Serra Dourada;5300108;Brasília;3;3;6;536
2930501;Serrinha;5300108;Brasília;3;3;6;1052
2932200;Ubaitaba;5300108;Brasília;3;3;6;932
2932903;Valença;5300108;Brasília;3;3;6;977
2933208;Vera Cruz;5300108;Brasília;3;3;6;1036
2933604;Xique-Xique;5300108;Brasília;3;3;6;782
3100906;Águas Formosas;5300108;Brasília;3;3;6;760
3101102;Aimorés;5300108;Brasília;3;3;6;845
3101508;Além Paraíba;5300108;Brasília;3;3;6;874
3101706;Almenara;5300108;Brasília;3;3;6;774
3102605;Andradas;5300108;Brasília;3;3;6;708
3103405;Araçuaí;5300108;Brasília;3;3;6;644
3104205;Arcos;5300108;Brasília;3;3;6;559
3105400;Barão de Cocais;5300108;Brasília;3;3;6;661
3106903;Bicas;5300108;Brasília;3;3;6;839
3107109;Boa Esperança;5300108;Brasília;3;3;6;638
3107307;Bocaiúva;5300108;Brasília;3;3;6;464
3107406;Bom Despacho;5300108;Brasília;3;3;6;521
3108008;Bom Sucesso;5300108;Brasília;3;3;6;673
3108305;Borda da Mata;5300108;Brasília;3;3;6;741
3108552;Brasilândia de Minas;5300108;Brasília;3;3;6;245
3109006;Brumadinho;5300108;Brasília;3;3;6;627
3109303;Buritis;5300108;Brasília;3;3;6;162
3110004;Caeté;5300108;Brasília;3;3;6;644
3110301;Caldas;5300108;Brasília;3;3;6;697
3110608;Cambuí;5300108;Brasília;3;3;6;780
3110905;Campanha;5300108;Brasília;3;3;6;721
3111002;Campestre;5300108;Brasília;3;3;6;678
3111101;Campina Verde;5300108;Brasília;3;3;6;444
3111200;Campo Belo;5300108;Brasília;3;3;6;632
3111507;Campos Altos;5300108;Brasília;3;3;6;470
3111606;Campos Gerais;5300108;Brasília;3;3;6;645
3112307;Capelinha;5300108;Brasília;3;3;6;617
3112604;Capinópolis;5300108;Brasília;3;3;6;365
3113206;Carandaí;5300108;Brasília;3;3;6;720
3113305;Carangola;5300108;Brasília;3;3;6;841
3113701;Carlos Chagas;5300108;Brasília;3;3;6;798
3114303;Carmo do Paranaíba;5300108;Brasília;3;3;6;392
3115102;Cássia;5300108;Brasília;3;3;6;538
3115508;Caxambu;5300108;Brasília;3;3;6;751
3116605;Cláudio;5300108;Brasília;3;3;6;617
3117306;Conceição das Alagoas;5300108;Brasília;3;3;6;457
3117504;Conceição do Mato Dentro;5300108;Brasília;3;3;6;604
3118403;Conselheiro Pena;5300108;Brasília;3;3;6;789
3119104;Corinto;5300108;Brasília;3;3;6;470
3119609;Coronel Pacheco;5300108;Brasília;3;3;6;816
3120508;Cristina;5300108;Brasília;3;3;6;766
3121605;Diamantina;5300108;Brasília;3;3;6;535
3123205;Dores do Indaiá;5300108;Brasília;3;3;6;476
3123601;Elói Mendes;5300108;Brasília;3;3;6;692
3124104;Esmeraldas;5300108;Brasília;3;3;6;587
3124203;Espera Feliz;5300108;Brasília;3;3;6;845
3127107;Frutal;5300108;Brasília;3;3;6;490
3128006;Guanhães;5300108;Brasília;3;3;6;629
3128303;Guaranésia;5300108;Brasília;3;3;6;620
3128709;Guaxupé;5300108;Brasília;3;3;6;622
3129509;Ibiá;5300108;Brasília;3;3;6;429
3129806;Ibirité;5300108;Brasília;3;3;6;627
3130903;Inhapim;5300108;Brasília;3;3;6;753
3131604;Iraí de Minas;5300108;Brasília;3;3;6;355
3131901;Itabirito;5300108;Brasília;3;3;6;665
3133006;Itamonte;5300108;Brasília;3;3;6;790
3133501;Itapecerica;5300108;Brasília;3;3;6;599
3133758;Itaú de Minas;5300108;Brasília;3;3;6;560
3134905;Jacutinga;5300108;Brasília;3;3;6;731
3135209;Januária;5300108;Brasília;3;3;6;381
3136652;Juatuba;5300108;Brasília;3;3;6;601
3137205;Lagoa da Prata;5300108;Brasília;3;3;6;533
3137809;Lambari;5300108;Brasília;3;3;6;734
3138401;Leopoldina;5300108;Brasília;3;3;6;853
3138807;Luz;5300108;Brasília;3;3;6;503
3139003;Machado;5300108;Brasília;3;3;6;685
3139508;Manhumirim;5300108;Brasília;3;3;6;820
3139607;Mantena;5300108;Brasília;3;3;6;813
3139904;Maria da Fé;5300108;Brasília;3;3;6;771
3140704;Mateus Leme;5300108;Brasília;3;3;6;598
3141108;Matozinhos;5300108;Brasília;3;3;6;587
3141405;Medina;5300108;Brasília;3;3;6;689
3142601;Monsenhor Paulo;5300108;Brasília;3;3;6;708
3142809;Monte Alegre de Minas;5300108;Brasília;3;3;6;354
3143203;Monte Santo de Minas;5300108;Brasília;3;3;6;602
3143401;Monte Sião;5300108;Brasília;3;3;6;748
3143500;Morada Nova de Minas;5300108;Brasília;3;3;6;409
3144102;Muzambinho;5300108;Brasília;3;3;6;635
3144300;Nanuque;5300108;Brasília;3;3;6;845
3144607;Nepomuceno;5300108;Brasília;3;3;6;668
3144706;Nova Era;5300108;Brasília;3;3;6;686
3145604;Oliveira;5300108;Brasília;3;3;6;635
3146008;Ouro Fino;5300108;Brasília;3;3;6;736
3147303;Paraisópolis;5300108;Brasília;3;3;6;782
3147402;Paraopeba;5300108;Brasília;3;3;6;540
3149903;Perdões;5300108;Brasília;3;3;6;659
3151206;Pirapora;5300108;Brasília;3;3;6;365
3151404;Pitangui;5300108;Brasília;3;3;6;538
3151503;Piumhi;5300108;Brasília;3;3;6;558
3152006;Pompéu;5300108;Brasília;3;3;6;497
3152808;Prata;5300108;Brasília;3;3;6;405
3154002;Raul Soares;5300108;Brasília;3;3;6;760
3154903;Rio Casca;5300108;Brasília;3;3;6;751
3155801;Rio Pomba;5300108;Brasília;3;3;6;795
3156908;Sacramento;5300108;Brasília;3;3;6;451
3157005;Salinas;5300108;Brasília;3;3;6;606
3157203;Santa Bárbara;5300108;Brasília;3;3;6;671
3158003;Santa Maria de Itabira;5300108;Brasília;3;3;6;658
3159605;Santa Rita do Sapucaí;5300108;Brasília;3;3;6;753
3159803;Santa Vitória;5300108;Brasília;3;3;6;412
3160405;Santo Antônio do Monte;5300108;Brasília;3;3;6;553
3160702;Santos Dumont;5300108;Brasília;3;3;6;788
3161106;São Francisco;5300108;Brasília;3;3;6;332
3162005;São Gonçalo do Sapucaí;5300108;Brasília;3;3;6;720
3162104;São Gotardo;5300108;Brasília;3;3;6;436
3162906;São João Nepomuceno;5300108;Brasília;3;3;6;830
3162922;São Joaquim de Bicas;5300108;Brasília;3;3;6;614
3163706;São Lourenço;5300108;Brasília;3;3;6;767
3168002;Taiobeiras;5300108;Brasília;3;3;6;609
3169307;Três Corações;5300108;Brasília;3;3;6;712
3169356;Três Marias;5300108;Brasília;3;3;6;391
3169406;Três Pontas;5300108;Brasília;3;3;6;669
3169604;Tupaciguara;5300108;Brasília;3;3;6;319
3170800;Várzea da Palma;5300108;Brasília;3;3;6;393
3172004;Visconde do Rio Branco;5300108;Brasília;3;3;6;798
3200102;Afonso Cláudio;5300108;Brasília;3;3;6;875
3200201;Alegre;5300108;Brasília;3;3;6;883
3200409;Anchieta;5300108;Brasília;3;3;6;957
3200805;Baixo Guandu;5300108;Brasília;3;3;6;855
